Origin_DH,Origin_Code,Dest_DH,Dest_Code,Distance_km,Time_mins
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-DRY-MH-SUMADHURA,MH_CODE,0.0,0.0
BLR-Jakkur New,BLR230S,BLR-Jakkur New,BLR230S,0.0,0.0
BLR-Brookfield Network-2,BLR129S,BLR-Brookfield Network-2,BLR129S,0.0,0.0
BLR-Electronic City New,BLR099S,BLR-Electronic City New,BLR099S,0.0,0.0
BLR-Murugeshpalya,BLR315S,BLR-Murugeshpalya,BLR315S,0.0,0.0
BLR-Marathahalli New,BLR055S,BLR-Marathahalli New,BLR055S,0.0,0.0
BLR-Doddathoguru,BLR306S,BLR-Doddathoguru,BLR306S,0.0,0.0
BLR-KALYAN NAGAR NEW,BLR034S,BLR-KALYAN NAGAR NEW,BLR034S,0.0,0.0
BLR-Garudachar Palya,FB_CODE,BLR-Garudachar Palya,FB_CODE,0.0,0.0
BLR-Kadugodi,BLR162S,BLR-Kadugodi,BLR162S,0.0,0.0
BLR-Singapura,BLR128S,BLR-Singapura,BLR128S,0.0,0.0
BLR-Sattava East,BLR137S,BLR-Sattava East,BLR137S,0.0,0.0
BLR-Narayanapura Network,BLR122S,BLR-Narayanapura Network,BLR122S,0.0,0.0
BLR-BHADRAPPA LAYOUT NETWORK,BLR028S,BLR-BHADRAPPA LAYOUT NETWORK,BLR028S,0.0,0.0
BLR-HBR Layout,BLR022S,BLR-HBR Layout,BLR022S,0.0,0.0
BLR-Hennur New,BLR229S,BLR-Hennur New,BLR229S,0.0,0.0
BLR-Margosa road,BLR139S,BLR-Margosa road,BLR139S,0.0,0.0
BLR-TC Palaya,BLR220S,BLR-TC Palaya,BLR220S,0.0,0.0
BLR-Yelahanka new town New,BLR298S,BLR-Yelahanka new town New,BLR298S,0.0,0.0
BLR-RAMAMURTHY NAGAR NEW,BLR075S,BLR-RAMAMURTHY NAGAR NEW,BLR075S,0.0,0.0
BLR-Goraguntepalya,BLR199S,BLR-Goraguntepalya,BLR199S,0.0,0.0
BLR-Budigere Cross,BLR027S,BLR-Budigere Cross,BLR027S,0.0,0.0
BLR-Marathahalli-3,BLR103S,BLR-Marathahalli-3,BLR103S,0.0,0.0
BLR-Mico layout network-2,BLR102S,BLR-Mico layout network-2,BLR102S,0.0,0.0
BLR-BROOKEFIELD,BLR086S,BLR-BROOKEFIELD,BLR086S,0.0,0.0
BLR-SHIVAJI NAGAR Network,BLR107S,BLR-SHIVAJI NAGAR Network,BLR107S,0.0,0.0
BLR-BTM-2,BLR043S,BLR-BTM-2,BLR043S,0.0,0.0
BLR-Siddapura,BLR224S,BLR-Siddapura,BLR224S,0.0,0.0
BLR-GUNJUR,BLR087S,BLR-GUNJUR,BLR087S,0.0,0.0
BLR-Varthur,BLR313S,BLR-Varthur,BLR313S,0.0,0.0
BLR-Kalyan Nagar Network,BLR059S,BLR-Kalyan Nagar Network,BLR059S,0.0,0.0
BLR-Chickpet New,BLR175S,BLR-Chickpet New,BLR175S,0.0,0.0
BLR-Vidyaranyapura,BLR130S,BLR-Vidyaranyapura,BLR130S,0.0,0.0
BLR-JC Nagar,BLR127S,BLR-JC Nagar,BLR127S,0.0,0.0
BLR-Bannerghatta Network 2,BLR061S,BLR-Bannerghatta Network 2,BLR061S,0.0,0.0
BLR-Tippenahalli,BLR311S,BLR-Tippenahalli,BLR311S,0.0,0.0
BLR-Kogilu Road,BLR154S,BLR-Kogilu Road,BLR154S,0.0,0.0
BLR-Narayanapura,BLR026S,BLR-Narayanapura,BLR026S,0.0,0.0
BLR-Nikoo Home New,BLR119S,BLR-Nikoo Home New,BLR119S,0.0,0.0
BLR-Nagavara,BLR200S,BLR-Nagavara,BLR200S,0.0,0.0
BLR-HSR-3,BLR080S,BLR-HSR-3,BLR080S,0.0,0.0
BLR-Challakere,BLR123S,BLR-Challakere,BLR123S,0.0,0.0
BLR - Bhadrappa Layout,BLR042S,BLR - Bhadrappa Layout,BLR042S,0.0,0.0
BLR-Abbigere,BLR151S,BLR-Abbigere,BLR151S,0.0,0.0
BLR-Aswath Nagar,BLR304S,BLR-Aswath Nagar,BLR304S,0.0,0.0
BLR-Yallapa Garden,BLR125S,BLR-Yallapa Garden,BLR125S,0.0,0.0
BLR-Dooravani Nagar,BLR227S,BLR-Dooravani Nagar,BLR227S,0.0,0.0
BLR-Doddanekundi,FB_CODE,BLR-Doddanekundi,FB_CODE,0.0,0.0
BLR-Nehru Nagar,BLR155S,BLR-Nehru Nagar,BLR155S,0.0,0.0
BLR-Hegganahalli,BLR264S,BLR-Hegganahalli,BLR264S,0.0,0.0
BLR-VIJAY NAGAR,BLR031S,BLR-VIJAY NAGAR,BLR031S,0.0,0.0
BLR-INDIRANAGAR NEW,BLR044S,BLR-INDIRANAGAR NEW,BLR044S,0.0,0.0
BLR-HSR Layout New,BLR094S,BLR-HSR Layout New,BLR094S,0.0,0.0
BLR-Banashankari New,BLR041S,BLR-Banashankari New,BLR041S,0.0,0.0
BLR-Richmond Town Network,BLR296S,BLR-Richmond Town Network,BLR296S,0.0,0.0
BLR-BTM LAYOUT NEW,BLR036S,BLR-BTM LAYOUT NEW,BLR036S,0.0,0.0
BLR-Ramamurthy Nagar Network,BLR071S,BLR-Ramamurthy Nagar Network,BLR071S,0.0,0.0
BLR-Jayanagar 9th block,BLR307S,BLR-Jayanagar 9th block,BLR307S,0.0,0.0
BLR-Malleshwaram new,BLR045S,BLR-Malleshwaram new,BLR045S,0.0,0.0
BLR-Marathahalli 2,BLR023S,BLR-Marathahalli 2,BLR023S,0.0,0.0
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-BASAVANAPURA NETWORK 2,BLR104S,0.0,0.0
BLR-Devanahalli,BLR149S,BLR-Devanahalli,BLR149S,0.0,0.0
BLR-RWF Yelahanka,BLR187S,BLR-RWF Yelahanka,BLR187S,0.0,0.0
BLR-Seegehalli,BLR238S,BLR-Seegehalli,BLR238S,0.0,0.0
BLR-Bagalur,BLR105S,BLR-Bagalur,BLR105S,0.0,0.0
BLR-Magadi Road,BLR109S,BLR-Magadi Road,BLR109S,0.0,0.0
BLR-JP Nagar Network,BLR013S,BLR-JP Nagar Network,BLR013S,0.0,0.0
BLR-Jakkur Network,BLR058S,BLR-Jakkur Network,BLR058S,0.0,0.0
BLR-Kothnur New,BLR257S,BLR-Kothnur New,BLR257S,0.0,0.0
BLR-RICHMOND TOWN,BLR077S,BLR-RICHMOND TOWN,BLR077S,0.0,0.0
BLR-Whitefield New,BLR262S,BLR-Whitefield New,BLR262S,0.0,0.0
BLR-JP Nagar Network-2,BLR108S,BLR-JP Nagar Network-2,BLR108S,0.0,0.0
BLR-Banjara Layout,BLR150S,BLR-Banjara Layout,BLR150S,0.0,0.0
BLR-Yelahanka Network,BLR120S,BLR-Yelahanka Network,BLR120S,0.0,0.0
BLR-HEBBAL NEW,BLR033S,BLR-HEBBAL NEW,BLR033S,0.0,0.0
BLR-Kannika Nagar,BLR116S,BLR-Kannika Nagar,BLR116S,0.0,0.0
BLR-CV RAMAN NAGAR NEW,BLR091S,BLR-CV RAMAN NAGAR NEW,BLR091S,0.0,0.0
BLR-Sanjaynagar,BLR190S,BLR-Sanjaynagar,BLR190S,0.0,0.0
BLR-GUNJUR Network,BLR017S,BLR-GUNJUR Network,BLR017S,0.0,0.0
BLR-Kannamangala,BLR014S,BLR-Kannamangala,BLR014S,0.0,0.0
BLR-Shivaji nagar New,BLR275S,BLR-Shivaji nagar New,BLR275S,0.0,0.0
BLR-Belathur,BLR189S,BLR-Belathur,BLR189S,0.0,0.0
BLR-Kasturinagar,BLR177S,BLR-Kasturinagar,BLR177S,0.0,0.0
BLR-Mathikere,BLR140S,BLR-Mathikere,BLR140S,0.0,0.0
BLR-JP Nagar New,BLR265S,BLR-JP Nagar New,BLR265S,0.0,0.0
BLR-Dasarahalli,BLR131S,BLR-Dasarahalli,BLR131S,0.0,0.0
BLR-Nagdevanahalli,FB_CODE,BLR-Nagdevanahalli,FB_CODE,0.0,0.0
BLR-BANNERGHATTA,BLR056S,BLR-BANNERGHATTA,BLR056S,0.0,0.0
BLR-Cholayanakanalli,BLR212S,BLR-Cholayanakanalli,BLR212S,0.0,0.0
BLR-DRY-MH-Sumadhura2,MH_CODE,BLR-DRY-MH-Sumadhura2,MH_CODE,0.0,0.0
BLR-Jakkur New,BLR230S,BLR-Jakkur New,BLR230S,0.0,0.0
BLR-Brookfield Network-2,BLR129S,BLR-Brookfield Network-2,BLR129S,0.0,0.0
BLR-Electronic City New,BLR099S,BLR-Electronic City New,BLR099S,0.0,0.0
BLR-Murugeshpalya,BLR315S,BLR-Murugeshpalya,BLR315S,0.0,0.0
BLR-Marathahalli New,BLR055S,BLR-Marathahalli New,BLR055S,0.0,0.0
BLR-Doddathoguru,BLR306S,BLR-Doddathoguru,BLR306S,0.0,0.0
BLR-KALYAN NAGAR NEW,BLR034S,BLR-KALYAN NAGAR NEW,BLR034S,0.0,0.0
BLR-Garudachar Palya,FB_CODE,BLR-Garudachar Palya,FB_CODE,0.0,0.0
BLR-Kadugodi,BLR162S,BLR-Kadugodi,BLR162S,0.0,0.0
BLR-Singapura,BLR128S,BLR-Singapura,BLR128S,0.0,0.0
BLR-Sattava East,BLR137S,BLR-Sattava East,BLR137S,0.0,0.0
BLR-Narayanapura Network,BLR122S,BLR-Narayanapura Network,BLR122S,0.0,0.0
