origin_city_name	Category	origin_store_name	Origin Lat Long	origin_loccode	destination_store_name	destination_city_name	DH Lat Long	destination_loccode	Inter/Intra Movement	Final Veh Restiction	Milk Run Pairs	Shift	OTR	MH Dock In	MH Dock Out	MH Out	TT (Primary)	DH In	To be removed	DH Out	MH In	Arrival Delta	TT (secondary)	Final TT	Source-Destination City Lane	Source MH-Destination City Lane	via	LHIC Distance	Freqency	"Primary 
MH Cut Off"	"Secondary
MH Cut Off"	DH Cut off (D, D+1, D+2, D+3)	Distance (One - way)	MH-DH THOR	MH-DH THOR Duplicate Key	Secondary Veh	Effective	Remarks	Planned Vehicles	DH Out Cut off (D, D+1, D+2, D+3)	"Primary 
MH In Cut Off"	unique store ID	Key final	check	TT	DO	dh in	1	D	2
Bengaluru	Cold	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA	13.134889, 77.407806	BLR271M	BLR-BASAVANAPURA NETWORK 2	Bengaluru	13.0320666095,77.7080646856	BLR104S	Intra	14FT_TRUCK	24	Night	10:30:00 PM	11:00:00 PM	11:30:00 PM	11:45:00 PM	4:45:00	4:30:00 AM		5:30:00 AM					Bengaluru-Bengaluru	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru				D		D+1				1			1						3:35:00					
Bengaluru	Cold	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA	13.134889, 77.407806	BLR271M	BLR-BASAVANAPURA	Bengaluru	13.015649,77.70943	BLR085S	Intra	17FT_TRUCK	24	Night	10:30:00 PM	11:00:00 PM	11:30:00 PM	11:45:00 PM	13:55:00	1:40:00 PM		2:40:00 AM				1:30:00	Bengaluru-Bengaluru	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru	Direct	50	Daily	D		D	48	BLR271M-BLR085S	0	1	2-Sep		1			1	KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-BASAVANAPURA	0	1:30:00	2:25:00 AM	1:25:00 AM			
Bengaluru	Cold	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA	13.134889, 77.407806	BLR271M	BLR-Brookfield Network	Bengaluru	12.99616854,77.69103524	BLR015S	Intra	17FT_TRUCK	1	Day	7:00:00 AM	7:30:00 AM	8:00:00 AM	8:15:00 AM	5:55:00	2:10:00 PM		3:10:00 PM				4:05:00	Bengaluru-Bengaluru	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru	Direct	48	Daily	D		D	46	BLR271M-BLR015S	1	1	2-Sep		1			1	KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-Brookfield Network	0	4:05:00	1:30:00 PM	12:30:00 PM			
Bengaluru	Cold	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA	13.134889, 77.407806	BLR271M	BLR-Neo Town	Bengaluru	12.81998463,77.66277018	BLR184S	Intra	14FT_TRUCK	18	Night	9:30:00 PM	10:00:00 PM	10:30:00 PM	10:45:00 PM	2:45:00	1:30:00 AM		2:30:00 AM					Bengaluru-Bengaluru	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru				D		D+1				1			1						2:55:00					
Bengaluru	Cold	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA	13.134889, 77.407806	BLR271M	BLR-RICHMOND TOWN	Bengaluru	12.9663761755706,77.606921117436	BLR077S	Intra	10FT_TRUCK	11	Night	8:30:00 PM	9:00:00 PM	9:30:00 PM	9:45:00 PM	2:45:00	12:30:00 AM		1:30:00 AM				1:45:00	Bengaluru-Bengaluru	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru	Direct	39	Daily	D		D+1	37	BLR271M-BLR077S	1	1	2-Sep		1			1	KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-RICHMOND TOWN	0	1:45:00	12:40:00 AM	11:40:00 PM			
Bengaluru	Cold	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA	13.134889, 77.407806	BLR271M	BLR-BTM Layout Network-3	Bengaluru	12.92504226,77.61740928	BLR117S	Intra	14FT_TRUCK	14	Day	9:00:00 AM	9:30:00 AM	10:00:00 AM	10:15:00 AM	5:55:00	4:10:00 PM		5:00:00 PM				3:45:00	Bengaluru-Bengaluru	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru	Direct	70	Daily	D		D	66	BLR271M-BLR117S	1	1	2-Sep		1			1	KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-BTM Layout Network-3	0	3:45:00	3:10:00 PM	2:10:00 PM			
Bengaluru	Cold	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA	13.134889, 77.407806	BLR271M	BLR-Marathahalli-3	Bengaluru	12.96160746,77.70483424	BLR103S	Intra	20FT_TRUCK	3	Day	7:00:00 AM	7:30:00 AM	8:00:00 AM	8:15:00 AM	6:00:00	2:15:00 PM		3:15:00 PM				4:45:00	Bengaluru-Bengaluru	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru	Direct	54	Daily	D		D	51	BLR271M-BLR103S	1	1	2-Sep		1			1	KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-Marathahalli-3	0	4:45:00	2:10:00 PM	1:10:00 PM			
Bengaluru	Cold	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA	13.134889, 77.407806	BLR271M	BLR-Bellandur 6	Bengaluru	12.92153068,77.6778849	BLR180S	Intra	20FT_TRUCK	1	Night	7:00:00 PM	7:30:00 PM	8:00:00 PM	8:15:00 PM	5:45:00	2:00:00 AM		3:00:00 AM					Bengaluru-Bengaluru	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru				D		D+1				1			1						4:44:00					
Bengaluru	Cold	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA	13.134889, 77.407806	BLR271M	BLR-BELLANDUR-4	Bengaluru	12.9488431153607,77.6866971448767	BLR095S	Intra	20FT_TRUCK	1	Night	7:00:00 PM	7:30:00 PM	8:00:00 PM	8:15:00 PM	2:55:00	11:10:00 PM		12:10:00 AM				2:25:00	Bengaluru-Bengaluru	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru	Direct	55	Daily	D		D	52	BLR271M-BLR095S	1	1	2-Sep		1			1	KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-BELLANDUR-4	0	2:25:00	11:50:00 PM	10:50:00 PM			
Bengaluru	Cold	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA	13.134889, 77.407806	BLR271M	BLR-Bellandur-5	Bengaluru	12.929433,77.704772	BLR145S	Intra	20FT_TRUCK	1	Night	7:00:00 PM	7:30:00 PM	8:00:00 PM	8:15:00 PM	4:25:00	12:40:00 AM		1:40:00 AM					Bengaluru-Bengaluru	KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru				D		D+1				1			1						3:35:00					
