Origin_DH,Origin_Code,Dest_DH,Dest_Code,Distance_km,Time_mins
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-DRY-MH-SUMADHURA,MH_CODE,0.0,0.0
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Jakkur New,BLR230S,37.188030600000005,46.081125
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Brookfield Network-2,BLR129S,26.2454682,30.750979166666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Electronic City New,BLR099S,53.62136535,66.4044375
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Murugeshpalya,BLR315S,35.178297,40.5849375
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Marathahalli New,BLR055S,30.244617900000005,36.37797916666666
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Doddathoguru,BLR306S,24.3617598,28.98225
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-KALYAN NAGAR NEW,BLR034S,31.640012250000005,36.93510416666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Garudachar Palya,FB_CODE,27.23255745,32.55741666666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Kadugodi,BLR162S,24.4375782,28.88116666666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Singapura,BLR128S,48.25756425,62.787
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Sattava East,BLR137S,19.04017185,22.265229166666668
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Narayanapura Network,BLR122S,34.061444550000004,41.256562499999994
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-BHADRAPPA LAYOUT NETWORK,BLR028S,41.49573855,51.910583333333335
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-HBR Layout,BLR022S,34.524637350000006,43.27985416666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Hennur New,BLR229S,30.51713805,37.3530625
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Margosa road,BLR139S,41.61514665,50.11616666666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-TC Palaya,BLR220S,25.5006528,29.49908333333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Yelahanka new town New,BLR298S,44.96493855,57.67279166666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-RAMAMURTHY NAGAR NEW,BLR075S,26.139443399999998,30.95916666666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Goraguntepalya,BLR199S,46.54364085,56.80799999999999
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Budigere Cross,BLR027S,19.1650956,22.086125000000003
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Marathahalli-3,BLR103S,32.14626975,38.3533125
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Mico layout network-2,BLR102S,43.27563345,52.34820833333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-BROOKEFIELD,BLR086S,27.56181015,32.682875
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-SHIVAJI NAGAR Network,BLR107S,37.50980625,43.8981875
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-BTM-2,BLR043S,43.3840344,52.59733333333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Siddapura,BLR224S,28.8605856,34.11508333333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-GUNJUR,BLR087S,30.71941845,36.41225
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Varthur,BLR313S,29.2147779,35.752562499999996
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Kalyan Nagar Network,BLR059S,33.05394015,39.80102083333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Chickpet New,BLR175S,40.82076705000001,49.915979166666666
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Vidyaranyapura,BLR130S,44.86665645,58.74254166666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-JC Nagar,BLR127S,46.047109500000005,56.022749999999995
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Bannerghatta Network 2,BLR061S,48.332081699999996,61.17129166666666
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Tippenahalli,BLR311S,53.21343720000001,65.60872916666666
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Kogilu Road,BLR154S,35.429044350000005,44.876125
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Narayanapura,BLR026S,31.362919350000002,38.15502083333334
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Nikoo Home New,BLR119S,32.740245300000005,41.9844375
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Nagavara,BLR200S,35.592898950000006,44.985625
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-HSR-3,BLR080S,43.32185025,52.99433333333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Challakere,BLR123S,31.7089269,38.17302083333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR - Bhadrappa Layout,BLR042S,40.128179700000004,51.645562500000004
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Abbigere,BLR151S,51.16583115,63.453583333333334
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Aswath Nagar,BLR304S,32.988176550000006,39.09045833333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Yallapa Garden,BLR125S,44.84791815,53.384625
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Dooravani Nagar,BLR227S,28.862830499999998,33.97327083333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Doddanekundi,FB_CODE,32.059811700000004,38.9756875
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Nehru Nagar,BLR155S,38.895660299999996,48.72597916666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Hegganahalli,BLR264S,51.5982201,64.001875
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-VIJAY NAGAR,BLR031S,45.023685,55.596125
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-INDIRANAGAR NEW,BLR044S,33.6186963,39.7214375
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-HSR Layout New,BLR094S,42.9711723,52.035375
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Banashankari New,BLR041S,45.9178986,57.091458333333335
