MH_Name,Physical_Vehicle_ID,Trip_Number,Assigned_Truck,Stop_Sequence,DH_Name
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V009,1,8FT,1,BLR-Nagdevanahalli
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V009,1,8FT,2,BLR-Hegganahalli
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V012,1,10FT,1,BLR-JP Nagar Network
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V012,1,10FT,2,BLR-Jayanagar 9th block
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V014,1,10FT,1,BLR-Varthur
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V014,1,10FT,2,BLR-Marathahalli New
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V014,2,10FT,1,BLR-Garudachar Palya
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V014,2,10FT,2,BLR-Marathahalli-3
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V016,2,10FT,1,BLR-Kothnur New
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V016,2,10FT,2,BLR-Bannerghatta Network 2
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V017,1,10FT,1,BLR-Murugeshpalya
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V017,1,10FT,2,BLR-BANNERGHATTA
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V022,2,10FT,1,BLR-Magadi Road
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V022,2,10FT,2,BLR-JC Nagar
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V023,1,10FT,1,BLR-Tippenahalli
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V023,1,10FT,2,BLR-Abbigere
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V024,2,10FT,1,BLR-TC Palaya
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V024,2,10FT,2,BLR-BHADRAPPA LAYOUT NETWORK
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V025,1,14FT,1,BLR-Vidyaranyapura
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V025,1,14FT,2,BLR-Yelahanka new town New
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V025,2,14FT,1,BLR-Kannika Nagar
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V025,2,14FT,2,BLR-BTM LAYOUT NEW
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V026,2,14FT,1,BLR-CV RAMAN NAGAR NEW
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V026,2,14FT,2,BLR-Kannamangala
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V027,2,14FT,1,BLR-Bagalur
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V027,2,14FT,2,BLR-Ramamurthy Nagar Network
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V029,1,14FT,1,BLR-Banashankari New
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V029,1,14FT,2,BLR-JP Nagar Network-2
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V029,2,14FT,1,BLR-GUNJUR
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V029,2,14FT,2,BLR-HSR Layout New
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V030,1,14FT,1,BLR-Dasarahalli
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V030,1,14FT,2,BLR - Bhadrappa Layout
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V030,2,14FT,1,BLR-VIJAY NAGAR
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V030,2,14FT,2,BLR-JP Nagar New
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V031,1,14FT,1,BLR-Challakere
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V031,1,14FT,2,BLR-Doddanekundi
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V031,2,14FT,1,BLR-Singapura
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V031,2,14FT,2,BLR-Yallapa Garden
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V032,2,14FT,1,BLR-Siddapura
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V032,2,14FT,2,BLR-RICHMOND TOWN
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V033,2,14FT,1,BLR-Narayanapura
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V033,2,14FT,2,BLR-Nikoo Home New
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V034,1,14FT,1,BLR-Goraguntepalya
BLR-DRY-MH-SUMADHURA,BLR-DRY-MH-SUMADHURA_V034,1,14FT,2,BLR-Mathikere
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V019,1,10FT,1,BLR-Magadi Road
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V019,1,10FT,2,BLR-Tippenahalli
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V026,1,14FT,1,BLR-Nagdevanahalli
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V026,1,14FT,2,BLR-JP Nagar Network
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V027,2,14FT,1,BLR-Varthur
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V027,2,14FT,2,BLR-Siddapura
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V036,1,14FT,1,BLR-Bannerghatta Network 2
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V036,1,14FT,2,BLR-Jayanagar 9th block
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V043,1,14FT,1,BLR-Murugeshpalya
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V043,1,14FT,2,BLR-Hegganahalli
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V059,2,20FT,1,BLR-Belathur
BLR-DRY-MH-Sumadhura2,BLR-DRY-MH-Sumadhura2_V059,2,20FT,2,BLR-Kannamangala
