origin_store_name,origin_loccode,Origin Lat Long,destination_store_name,destination_loccode,DH Lat Long,GH_Distance_km,GH_Travel_Time_mins
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-BASAVANAPURA NETWORK 2,BLR104S,"13.0320666095,77.7080646856",49.8613668,60.7930625
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-BASAVANAPURA,BLR085S,"13.015649,77.70943",48.86293545,58.919125
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Brookfield Network,BLR015S,"12.99616854,77.69103524",46.48635705,56.9763125
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Neo Town,BLR184S,"12.81998463,77.66277018",68.07155775,66.3259375
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-RICHMOND TOWN,BLR077S,"12.9663761755706,77.606921117436",38.1670506,47.7889375
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-BTM Layout Network-3,BLR117S,"12.92504226,77.61740928",43.45314015,52.81925
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Marathahalli-3,BLR103S,"12.96160746,77.70483424",50.53950195,62.745625
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Bellandur 6,BLR180S,"12.92153068,77.6778849",50.1642624,62.77175
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-BELLANDUR-4,BLR095S,"12.9488431153607,77.6866971448767",48.1517127,60.297625
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Bellandur-5,BLR145S,"12.929433,77.704772",51.9728055,67.53320833
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-BROOKEFIELD,BLR086S,"12.98497,77.71066",49.63859565,60.92520833
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Brookfield Network-2,BLR129S,"12.9951836,77.7201213",49.6312908,61.12160417
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-HSR Layout New,BLR094S,"12.9118326596571,77.6439838767151",47.18747355,58.85825
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-HSR-2,BLR082S,"12.899316,77.651296",49.5014268,61.12908333
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-HSR-3,BLR080S,"12.905778,77.637514",47.2422447,58.89602083
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-KOTHNUR New,BLR257S,"12.870096566,77.5837238277",53.8616484,52.712625
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Sunrise Layout,BLR118S,"12.84495985,77.59398467",52.1126781,50.29339583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Yelenahalli,BLR206S,"12.86077262,77.61333628",55.96771845,55.58189583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Agrahara Road,BLR188S,"12.931722,77.682389",51.0022443,63.70647917
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-BELLANDUR - 2,BLR084S,"12.91910594,77.69695312",52.75754085,66.0785625
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Bellandur new,BLR074S,"12.928560976,77.6706643623",49.57118145,61.81133333
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Marathahalli New,BLR055S,"12.95188627,77.71964524",51.2763825,63.62652083
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Marathahalli-4,BLR144S,"12.94915445,77.70329588",50.4532476,63.0225625
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-CV Raman Nagar Network,BLR016S,"12.996864,77.673218",44.6300631,54.83325
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-CV Raman Nagar Network-2,BLR114S,"12.96657501,77.67172065",44.76461325,56.20064583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-CV RAMAN NAGAR NEW,BLR091S,"12.979059012726,77.6783686576707",45.41811015,56.06422917
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Hennur New,BLR229S,"13.03859871,77.64591263",38.546319,48.86814583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Kogilu Road,BLR154S,"13.10307433,77.63013442",33.78125415,42.5423125
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Nikoo Home New,BLR119S,"13.0797707388,77.6437555377",37.6909512,48.0929375
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-BTM LAYOUT NEW,BLR036S,"12.9266331,77.60991496",42.51574635,51.63185417
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-BTM-2,BLR043S,"12.9117795419901,77.6031987740639",43.87400115,53.25972917
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-BTM-3,BLR029S,"12.89932425,77.60549641",45.813096,55.79985417
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Whitefield Network-2,BLR098S,"12.9718703612,77.7349202021",53.25898725,65.95366667
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Whitefield New,BLR262S,"12.96902, 77.75395",55.1866875,67.3706875
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Hope Farm New,BLR255S,"12.98416,77.767",54.7751001,66.99070833
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Kannamangala,BLR014S,"13.01745885,77.7593783",57.3197394,70.39439583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Margosa Road,BLR139S,"13.0059977,77.5695793",29.964816,34.98833333
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Mathikere,BLR140S,"13.0265,77.558028",28.6602792,33.31514583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Nagondanahalli,BLR197S,"12.97486139,77.7718582",56.04460995,68.95529167
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Yallapa Garden,BLR125S,"12.983662,77.5487921",31.91490015,37.02377083
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR - Bhadrappa Layout,BLR042S,"13.0475325758612,77.5783734297132",32.31122685,40.09939583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Bagalakunte,BLR186S,"13.06371941,77.50432545",17.2714626,26.5960625
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Sanjaynagar,BLR190S,"13.03273924,77.58054019",31.51838865,39.81364583
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-SHIVAJI NAGAR,BLR052S,"12.99288,77.60675",34.8641223,42.02347917
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-SHIVAJI NAGAR Network,BLR107S,"13.0227934927917,77.688022214505",45.9410343,56.15510417
KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,BLR271M,"13.134889, 77.407806",BLR-Singapura,BLR128S,"13.090409,77.53952",21.38871735,28.741875
