Origin_DH,Origin_Code,Dest_DH,Dest_Code,Distance_km,Time_mins
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-BASAVANAPURA NETWORK 2,BLR104S,0,0
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-BASAVANAPURA,BLR085S,2.9940036,4.327895833
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Brookfield Network,BLR015S,9.8398524,13.2600625
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Neo Town,BLR184S,36.4345779,49.23922917
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-RICHMOND TOWN,BLR077S,16.22099115,21.16285417
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-BTM Layout Network-3,BLR117S,20.72154,26.15452083
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Marathahalli-3,BLR103S,13.0965765,19.53345833
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Bellandur 6,BLR180S,17.92213605,27.06775
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-BELLANDUR-4,BLR095S,15.4090881,22.31283333
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Bellandur-5,BLR145S,16.4118087,24.72325
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-BROOKEFIELD,BLR086S,7.8823647,11.46191667
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Brookfield Network-2,BLR129S,6.56602275,9.530020833
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-HSR Layout New,BLR094S,23.2917279,30.81441667
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-HSR-2,BLR082S,25.60568115,33.08525
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-HSR-3,BLR080S,23.6424048,31.773375
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-KOTHNUR New,BLR257S,30.20680425,39.26379167
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Sunrise Layout,BLR118S,32.53289235,42.24708333
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Yelenahalli,BLR206S,29.34126195,40.73535417
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Agrahara Road,BLR188S,16.88351385,25.20077083
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-BELLANDUR - 2,BLR084S,17.1392739,24.86864583
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Bellandur new,BLR074S,19.1177763,28.84139583
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Marathahalli New,BLR055S,13.91670735,19.20383333
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Marathahalli-4,BLR144S,13.56941355,19.99527083
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-CV Raman Nagar Network,BLR016S,8.6550996,11.26483333
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-CV Raman Nagar Network-2,BLR114S,12.75769005,19.96847917
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-CV RAMAN NAGAR NEW,BLR091S,12.23762925,15.86054167
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Hennur New,BLR229S,8.2257861,12.11570833
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Kogilu Road,BLR154S,16.98186105,22.6755
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Nikoo Home New,BLR119S,13.62217185,18.98970833
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-BTM LAYOUT NEW,BLR036S,22.06830255,27.88454167
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-BTM-2,BLR043S,23.70458895,31.376375
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-BTM-3,BLR029S,25.3905939,33.2186875
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Whitefield Network-2,BLR098S,11.16806355,15.70997917
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Whitefield New,BLR262S,13.0957638,17.127
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Hope Farm New,BLR255S,12.68417535,16.74702083
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Kannamangala,BLR014S,9.02477625,14.31841667
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Margosa Road,BLR139S,20.52574755,28.05177083
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Mathikere,BLR140S,22.4904015,30.68377083
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Nagondanahalli,BLR197S,13.9536852,18.71160417
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Yallapa Garden,BLR125S,25.1684727,32.16366667
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR - Bhadrappa Layout,BLR042S,17.9524065,26.61610417
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Bagalakunte,BLR186S,29.071791,41.64402083
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Sanjaynagar,BLR190S,20.8265169,29.06958333
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-SHIVAJI NAGAR,BLR052S,14.94942225,19.76002083
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-SHIVAJI NAGAR Network,BLR107S,3.8256981,5.651583333
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Singapura,BLR128S,27.2645478,38.58139583
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-GUNJUR,BLR087S,18.1163934,23.2721875
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-INDIRANAGAR NEW,BLR044S,13.93925085,18.50047917
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Sarjapur-2,BLR079S,21.69384525,36.296
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR- Sonnenahalli New,BLR012S,31.06948635,42.03208333
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Mico Layout Network,BLR011S,27.757506,36.83339583
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Mico layout network-2,BLR102S,23.596188,31.12725
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Mico layout New,BLR183S,24.9934818,34.29979167
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-RR Nagar Network,BLR115S,31.9584006,44.04016667
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-RR NAGAR NEW,BLR274S,30.1357812,42.1396875
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-ITPL Layout,BLR178S,11.9406042,16.27045833
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-JAYANAGAR New,BLR092S,21.97250475,30.27920833
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Sarjapur New,BLR237S,20.53853025,31.71645833
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-VIJAY NAGAR,BLR031S,25.3442406,34.37516667
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Vijay Nagar Network,BLR060S,28.60401705,38.47583333
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-27th Main Road,BLR181S,23.20725645,29.83229167
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Doddakannelli,BLR081S,19.1390619,27.87341667
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-GUNJUR Network,BLR017S,16.65255585,22.98802083
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Koramangala Network,BLR038S,18.46262985,23.38275
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Marathahalli 2,BLR023S,13.4966979,19.90985417
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Belathur,BLR189S,7.70420595,13.29964583
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-JP Nagar Network-2,BLR108S,28.29864345,37.74610417
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-JP Nagar New,BLR265S,27.2667843,37.27925
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Kumaraswamy Layout,BLR160S,29.5320837,39.10270833
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Sattava East,BLR137S,6.5192988,10.25058333
BLR-BASAVANAPURA NETWORK 2,BLR104S,BLR-Seegehalli,BLR238S,3.52221555,6.299104167
